X,uh,vh,Vh,ph,Y,uv,vv,Vv,pv
0.000,0.961,-0.007,0.961,4.647,0.000,0.045081,-0.0037105,0.045,3.638
0.000,0.960,-0.007,0.960,4.642,0.000,0.045896,-0.003891,0.046,3.6375
0.000,0.960,-0.007,0.960,4.637,0.000,0.046711,-0.0040715,0.047,3.6371
0.000,0.959,-0.007,0.959,4.633,0.000,0.047526,-0.004252,0.048,3.6366
0.000,0.958,-0.007,0.958,4.628,0.000,0.048341,-0.0044325,0.049,3.6362
0.001,0.957,-0.007,0.957,4.623,0.001,0.049156,-0.004613,0.049,3.6357
0.001,0.956,-0.007,0.956,4.618,0.001,0.049971,-0.0047935,0.050,3.6353
0.001,0.956,-0.007,0.956,4.614,0.001,0.050786,-0.004974,0.051,3.6349
0.001,0.955,-0.007,0.955,4.609,0.001,0.051601,-0.0051545,0.052,3.6344
0.001,0.954,-0.008,0.954,4.604,0.001,0.052416,-0.005335,0.053,3.634
0.001,0.953,-0.008,0.953,4.600,0.001,0.053231,-0.0055155,0.054,3.6335
0.001,0.953,-0.008,0.953,4.595,0.001,0.054046,-0.005696,0.054,3.6331
0.001,0.952,-0.008,0.952,4.590,0.001,0.054861,-0.0058765,0.055,3.6326
0.001,0.951,-0.008,0.951,4.585,0.001,0.055676,-0.006057,0.056,3.6322
0.001,0.950,-0.008,0.950,4.581,0.001,0.056491,-0.0062375,0.057,3.6317
0.002,0.949,-0.008,0.949,4.576,0.002,0.057307,-0.0064179,0.058,3.6313
0.002,0.949,-0.008,0.949,4.571,0.002,0.058122,-0.0065984,0.058,3.6309
0.002,0.948,-0.008,0.948,4.567,0.002,0.058937,-0.0067789,0.059,3.6304
0.002,0.947,-0.008,0.947,4.562,0.002,0.059752,-0.0069594,0.060,3.63
0.002,0.946,-0.008,0.946,4.557,0.002,0.060567,-0.0071399,0.061,3.6295
0.002,0.946,-0.009,0.946,4.552,0.002,0.061382,-0.0073204,0.062,3.6291
0.002,0.945,-0.009,0.945,4.548,0.002,0.062197,-0.0075009,0.063,3.6286
0.002,0.944,-0.009,0.944,4.543,0.002,0.063012,-0.0076814,0.063,3.6282
0.002,0.943,-0.009,0.943,4.538,0.002,0.063827,-0.0078619,0.064,3.6277
0.002,0.942,-0.009,0.942,4.534,0.002,0.064642,-0.0080424,0.065,3.6273
0.003,0.942,-0.009,0.942,4.529,0.003,0.065457,-0.0082229,0.066,3.6268
0.003,0.941,-0.009,0.941,4.524,0.003,0.066272,-0.0084034,0.067,3.6264
0.003,0.940,-0.009,0.940,4.519,0.003,0.067087,-0.0085839,0.068,3.626
0.003,0.939,-0.009,0.939,4.515,0.003,0.067902,-0.0087644,0.068,3.6255
0.003,0.939,-0.009,0.939,4.510,0.003,0.068717,-0.0089449,0.069,3.6251
0.003,0.938,-0.010,0.938,4.505,0.003,0.069532,-0.0091254,0.070,3.6246
0.003,0.937,-0.010,0.937,4.501,0.003,0.070347,-0.0093059,0.071,3.6242
0.003,0.936,-0.010,0.936,4.496,0.003,0.071163,-0.0094863,0.072,3.6237
0.003,0.935,-0.010,0.936,4.491,0.003,0.071978,-0.0096668,0.073,3.6233
0.003,0.935,-0.010,0.935,4.486,0.003,0.072793,-0.0098473,0.073,3.6228
0.004,0.934,-0.010,0.934,4.482,0.004,0.073608,-0.010028,0.074,3.6224
0.004,0.933,-0.010,0.933,4.477,0.004,0.074423,-0.010208,0.075,3.622
0.004,0.932,-0.010,0.932,4.472,0.004,0.075238,-0.010389,0.076,3.6215
0.004,0.932,-0.010,0.932,4.468,0.004,0.076053,-0.010569,0.077,3.6211
0.004,0.931,-0.010,0.931,4.463,0.004,0.076868,-0.01075,0.078,3.6206
0.004,0.930,-0.010,0.930,4.458,0.004,0.077683,-0.01093,0.078,3.6202
0.004,0.929,-0.011,0.929,4.453,0.004,0.078498,-0.011111,0.079,3.6197
0.004,0.928,-0.011,0.929,4.449,0.004,0.079313,-0.011291,0.080,3.6193
0.004,0.928,-0.011,0.928,4.444,0.004,0.080128,-0.011472,0.081,3.6188
0.004,0.927,-0.011,0.927,4.439,0.004,0.080943,-0.011652,0.082,3.6184
0.005,0.926,-0.011,0.926,4.435,0.005,0.081758,-0.011833,0.083,3.618
0.005,0.925,-0.011,0.925,4.430,0.005,0.082573,-0.012013,0.083,3.6175
0.005,0.925,-0.011,0.925,4.425,0.005,0.083388,-0.012194,0.084,3.6171
0.005,0.924,-0.011,0.924,4.421,0.005,0.084203,-0.012374,0.085,3.6166
0.005,0.923,-0.011,0.923,4.416,0.005,0.085019,-0.012555,0.086,3.6162
0.005,0.922,-0.011,0.922,4.411,0.005,0.085834,-0.012735,0.087,3.6157
0.005,0.920,-0.012,0.920,4.404,0.005,0.087317,-0.01325,0.088,3.615
0.005,0.918,-0.012,0.918,4.397,0.005,0.0888,-0.013765,0.090,3.6143
0.005,0.916,-0.012,0.916,4.390,0.005,0.090284,-0.014279,0.091,3.6136
0.005,0.914,-0.012,0.914,4.383,0.005,0.091767,-0.014794,0.093,3.6129
0.006,0.912,-0.012,0.912,4.376,0.006,0.093251,-0.015309,0.094,3.6122
0.006,0.910,-0.013,0.910,4.369,0.006,0.094734,-0.015823,0.096,3.6115
0.006,0.908,-0.013,0.908,4.362,0.006,0.096218,-0.016338,0.098,3.6108
